                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.75201,                0.37054,                 0.2428,                0.97982,                0.96754,                0.98459,                0.76793,                0.86629,                0.36836,                0.24252,               0.005149,               0.005149,               0.005149
                    101,                0.76331,                0.37446,                 0.2425,                0.97052,                0.96533,                0.98326,                 0.7629,                0.88286,                0.36727,                0.24678,              0.0050995,              0.0050995,              0.0050995
                    102,                0.74806,                 0.3642,                0.24219,                 0.9848,                0.96859,                0.98687,                0.76235,                0.87449,                  0.368,                0.24556,                0.00505,                0.00505,                0.00505
                    103,                0.76145,                0.37838,                0.24391,                 0.9759,                0.97519,                 0.9881,                0.76501,                0.87853,                0.36437,                0.24276,              0.0050005,              0.0050005,              0.0050005
                    104,                0.75392,                0.35886,                0.24173,                0.97855,                0.96859,                0.98622,                0.76469,                0.87642,                0.36427,                0.24173,               0.004951,               0.004951,               0.004951
                    105,                0.73939,                0.36263,                0.24241,                0.98741,                0.96754,                0.98805,                0.76907,                0.87192,                0.36528,                0.24321,              0.0049015,              0.0049015,              0.0049015
                    106,                0.74357,                0.36058,                  0.243,                0.98164,                0.97068,                0.98861,                0.76084,                0.88543,                0.36486,                0.24259,               0.004852,               0.004852,               0.004852
                    107,                0.75378,                0.36657,                0.24167,                0.98438,                0.96963,                0.98805,                0.76391,                0.87657,                0.36155,                0.24341,              0.0048025,              0.0048025,              0.0048025
                    108,                0.74262,                0.35619,                0.24286,                0.97764,                0.96649,                0.98244,                0.76391,                0.86801,                0.36104,                0.24388,               0.004753,               0.004753,               0.004753
                    109,                0.74786,                0.36276,                 0.2412,                0.97999,                0.97435,                 0.9871,                0.76627,                0.86948,                0.36025,                0.24327,              0.0047035,              0.0047035,              0.0047035
                    110,                0.73694,                0.36023,                0.24119,                 0.9779,                0.97305,                0.98604,                0.76554,                 0.8735,                 0.3578,                0.24498,               0.004654,               0.004654,               0.004654
                    111,                0.72686,                 0.3524,                0.24019,                 0.9769,                0.97411,                0.98736,                0.76349,                0.87873,                0.35894,                0.24651,              0.0046045,              0.0046045,              0.0046045
                    112,                0.74148,                0.35411,                  0.243,                0.97555,                0.97696,                0.98778,                0.76678,                0.87549,                0.35431,                0.24448,               0.004555,               0.004555,               0.004555
                    113,                0.72329,                0.35601,                0.23981,                0.97168,                0.97382,                0.98497,                0.76944,                0.86713,                 0.3583,                0.24189,              0.0045055,              0.0045055,              0.0045055
                    114,                0.71872,                0.35395,                0.23985,                0.97763,                0.97487,                0.98686,                0.76692,                0.86899,                0.35303,                0.24148,               0.004456,               0.004456,               0.004456
                    115,                0.73433,                0.35941,                0.24016,                0.98118,                0.97173,                0.98855,                0.76808,                 0.8711,                0.35599,                0.24439,              0.0044065,              0.0044065,              0.0044065
                    116,                0.73309,                0.36037,                0.24118,                0.97697,                0.97743,                0.98833,                0.76654,                 0.8746,                 0.3585,                0.24358,               0.004357,               0.004357,               0.004357
                    117,                  0.724,                0.35221,                0.23923,                0.97601,                0.97967,                0.98884,                0.76873,                 0.8645,                0.35309,                0.24347,              0.0043075,              0.0043075,              0.0043075
