epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,8382.09,0.87419,0.45411,1.03174,0.97318,0.96545,0.98285,0.71865,0.93235,0.41112,1.00518,0.003367,0.003367,0.003367
136,8444.56,0.89436,0.4625,1.04366,0.97968,0.959,0.97976,0.71557,0.93834,0.4176,1.00787,0.0033175,0.0033175,0.0033175
137,8506.74,0.87383,0.45603,1.02648,0.97355,0.9636,0.97893,0.71663,0.93325,0.4096,1.00626,0.003268,0.003268,0.003268
138,8568.7,0.86206,0.44769,1.01453,0.9765,0.95916,0.97743,0.71389,0.93232,0.40858,1.00849,0.0032185,0.0032185,0.0032185
139,8631.05,0.87139,0.45274,1.01783,0.97761,0.96013,0.97927,0.71181,0.93661,0.41376,1.01151,0.003169,0.003169,0.003169
140,8692.98,0.85441,0.4441,1.01958,0.97922,0.95079,0.98194,0.71503,0.92939,0.4092,1.00507,0.0031195,0.0031195,0.0031195
141,8754.79,0.86507,0.44839,1.01326,0.97827,0.95812,0.9833,0.71592,0.9342,0.40524,1.00554,0.00307,0.00307,0.00307
142,8816.93,0.8524,0.44745,1.01152,0.98126,0.95707,0.98341,0.71496,0.93991,0.40683,1.0128,0.0030205,0.0030205,0.0030205
143,8878.79,0.84954,0.43709,1.01086,0.97877,0.96551,0.98348,0.71737,0.9369,0.40689,1.01082,0.002971,0.002971,0.002971
144,8940.89,0.84943,0.44471,1.02021,0.97877,0.96544,0.98613,0.72141,0.93403,0.40046,1.00593,0.0029215,0.0029215,0.0029215
145,9002.73,0.84992,0.44174,1.00973,0.98449,0.95812,0.98374,0.72015,0.93333,0.40209,1.00622,0.002872,0.002872,0.002872
146,9064.75,0.86717,0.44523,1.01387,0.98055,0.95916,0.98436,0.71928,0.93274,0.40476,1.00429,0.0028225,0.0028225,0.0028225
147,9126.52,0.84226,0.43915,1.0123,0.98455,0.95602,0.98445,0.71928,0.92688,0.3989,1,0.002773,0.002773,0.002773
148,9188.51,0.83932,0.44205,1.01075,0.97902,0.96545,0.98542,0.72332,0.9258,0.39965,1.00169,0.0027235,0.0027235,0.0027235
149,9250.16,0.84191,0.43473,1.01173,0.97864,0.9594,0.98259,0.71986,0.9307,0.39955,1.00671,0.002674,0.002674,0.002674
150,9312.37,0.84024,0.43243,1.00213,0.97795,0.9644,0.98342,0.72004,0.92506,0.39495,1.00904,0.0026245,0.0026245,0.0026245
151,9374.52,0.82891,0.42738,1.00234,0.98237,0.96021,0.98317,0.72292,0.93011,0.40133,1.00955,0.002575,0.002575,0.002575
152,9436.4,0.82933,0.43256,1.0008,0.98283,0.9623,0.98086,0.71955,0.93316,0.40224,1.01008,0.0025255,0.0025255,0.0025255
153,9498.34,0.83058,0.43214,1.01276,0.98149,0.96126,0.98175,0.71745,0.9274,0.4006,1.00832,0.002476,0.002476,0.002476
154,9560.35,0.82757,0.42956,1.00461,0.97846,0.96126,0.97995,0.71936,0.92324,0.40204,0.99923,0.0024265,0.0024265,0.0024265
155,9622.3,0.83708,0.42667,0.99454,0.97661,0.9623,0.98094,0.72359,0.92197,0.39531,1.0057,0.002377,0.002377,0.002377
156,9684.51,0.82118,0.41811,0.99234,0.98088,0.95916,0.98041,0.72531,0.92338,0.39413,1.0091,0.0023275,0.0023275,0.0023275
157,9746.95,0.82676,0.42467,0.99238,0.97864,0.95945,0.97859,0.72661,0.92078,0.39566,1.01033,0.002278,0.002278,0.002278
158,9809.45,0.82919,0.42218,0.99879,0.98288,0.96188,0.98016,0.72319,0.92681,0.3948,1.0146,0.0022285,0.0022285,0.0022285
159,9871.41,0.82013,0.41876,0.99826,0.98185,0.96275,0.98346,0.72409,0.9188,0.39285,1.01091,0.002179,0.002179,0.002179
160,9933.69,0.81357,0.4165,0.99209,0.98177,0.95887,0.97817,0.72073,0.9258,0.3959,1.01175,0.0021295,0.0021295,0.0021295
161,9996.1,0.8247,0.42313,0.99722,0.97964,0.95746,0.97838,0.72162,0.92356,0.39648,1.00746,0.00208,0.00208,0.00208
162,10058.6,0.81474,0.4136,0.98696,0.97756,0.95777,0.97976,0.72032,0.91875,0.39571,1.0056,0.0020305,0.0020305,0.0020305
163,10121.1,0.81724,0.41611,0.99096,0.97739,0.96335,0.97837,0.72296,0.91547,0.39225,1.00237,0.001981,0.001981,0.001981
164,10183.3,0.80615,0.41357,0.98817,0.97654,0.96126,0.97809,0.71996,0.91252,0.3943,0.99967,0.0019315,0.0019315,0.0019315
165,10245.5,0.80805,0.41808,0.98952,0.97766,0.96228,0.98309,0.72016,0.9073,0.39543,0.99745,0.001882,0.001882,0.001882
166,10307.7,0.80587,0.41388,0.98635,0.98068,0.95693,0.97992,0.72216,0.91015,0.39676,1.00201,0.0018325,0.0018325,0.0018325
167,10369.5,0.80765,0.40807,0.98531,0.97602,0.9623,0.98286,0.72356,0.91297,0.39693,1.00436,0.001783,0.001783,0.001783
