               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 149,              1.1867,             0.65215,              1.3235,             0.97875,             0.96473,             0.98397,             0.70987,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                 150,              1.1801,              0.6386,              1.3158,             0.97429,              0.9623,             0.98276,             0.70969,                   0,                   0,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,              1.1756,             0.63981,              1.3045,             0.97227,             0.96126,             0.98217,             0.70793,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                 152,              1.1844,             0.64281,              1.3145,             0.97113,             0.96335,             0.98196,             0.70835,                   0,                   0,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,              1.1708,             0.64004,              1.3106,             0.97463,             0.96525,             0.98352,             0.71129,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                 154,              1.1928,             0.64372,              1.3203,             0.97573,             0.96809,             0.98357,             0.71166,                   0,                   0,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,              1.1733,             0.62054,              1.3088,             0.97566,             0.96547,              0.9842,             0.71385,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                 156,              1.1607,             0.62339,               1.294,             0.97672,             0.96859,             0.98404,             0.71335,                   0,                   0,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,              1.1606,              0.6193,              1.3018,             0.97393,             0.96649,             0.98179,             0.71167,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                 158,              1.1738,             0.63375,              1.3093,             0.97672,             0.96126,              0.9825,             0.71134,                   0,                   0,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,              1.1588,             0.62646,              1.3037,             0.97468,             0.96737,              0.9824,             0.71054,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                 160,              1.1496,             0.61272,              1.2913,             0.97058,             0.96716,             0.98097,             0.70989,                   0,                   0,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,              1.1606,             0.62636,              1.2988,             0.97939,              0.9623,             0.98239,              0.7117,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                 162,              1.1561,             0.61569,               1.285,             0.97516,             0.96335,             0.98221,             0.71384,                   0,                   0,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,              1.1642,             0.61013,              1.2931,             0.98342,             0.95812,             0.98381,             0.71561,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                 164,              1.1555,             0.62217,              1.2998,             0.97088,             0.96963,             0.98427,             0.71637,                   0,                   0,                   0,           0.0019315,           0.0019315,           0.0019315
                 165,              1.1711,             0.62503,              1.2941,             0.97558,              0.9623,             0.98435,             0.71297,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                 166,              1.1375,              0.6149,              1.2805,             0.97654,             0.96335,             0.98449,              0.7126,                   0,                   0,                   0,           0.0018325,           0.0018325,           0.0018325
                 167,              1.1602,             0.61913,              1.2959,              0.9715,              0.9637,             0.98378,             0.71217,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                 168,              1.1359,             0.59918,              1.2725,             0.97456,             0.96126,             0.98331,             0.71267,                   0,                   0,                   0,           0.0017335,           0.0017335,           0.0017335
                 169,              1.1479,             0.60768,              1.2916,             0.97768,             0.96299,             0.98399,             0.71233,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                 170,              1.1491,             0.60337,              1.2904,             0.96665,              0.9712,             0.98412,             0.71307,                   0,                   0,                   0,           0.0016345,           0.0016345,           0.0016345
                 171,              1.1394,             0.60741,              1.2772,             0.96877,             0.97457,             0.98405,             0.71375,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                 172,              1.1408,             0.59895,              1.2736,             0.96961,             0.96888,             0.98327,             0.71173,                   0,                   0,                   0,           0.0015355,           0.0015355,           0.0015355
                 173,              1.1158,             0.58991,              1.2648,             0.97756,             0.95916,             0.98365,             0.71332,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
